course_id,title,description,skills_covered,difficulty_level,duration_hours,prerequisites,industry_relevance
C001,Course 1,"This is course 1 covering Deep Learning, Product Management, Python","['Deep Learning', 'Product Management', 'Python']",1.1698625215412477,8,['Problem Solving'],"{'Tech': 0.609406036291234, 'Finance': 0.8772751134989908, 'Healthcare': 0.34679368661926957, 'Manufacturing': 0.14534370062569435}"
C002,Course 2,"This is course 2 covering Deep Learning, Cloud Computing","['Deep Learning', 'Cloud Computing']",4.6000871530539005,24,['Communication'],"{'Tech': 0.3907575621343904, 'Finance': 0.28684451425371854, 'Healthcare': 0.33210375711337314, 'Manufacturing': 0.8064296238523733}"
C003,Course 3,"This is course 3 covering Web Development, Cloud Computing, Communication, Problem Solving","['Web Development', 'Cloud Computing', 'Communication', 'Problem Solving']",2.5898710523714534,40,['Data Analysis'],"{'Tech': 0.4388179956087753, 'Finance': 0.5572051288037552, 'Healthcare': 0.15521427635882623, 'Manufacturing': 0.38261424980655145}"
C004,Course 4,"This is course 4 covering DevOps, Python","['DevOps', 'Python']",2.5114111322924724,22,"['Mobile Development', 'SQL']","{'Tech': 0.4510373193174796, 'Finance': 0.23115137161404864, 'Healthcare': 0.7590078133935347, 'Manufacturing': 0.5784894393136397}"
C005,Course 5,"This is course 5 covering DevOps, Product Management, Cloud Computing","['DevOps', 'Product Management', 'Cloud Computing']",2.2653813364896465,34,[],"{'Tech': 0.7575350654348654, 'Finance': 0.9713835784473169, 'Healthcare': 0.6927948317043667, 'Manufacturing': 0.5955419452581135}"
C006,Course 6,"This is course 6 covering DevOps, Machine Learning, Python, Cloud Computing, Problem Solving","['DevOps', 'Machine Learning', 'Python', 'Cloud Computing', 'Problem Solving']",4.654665616938366,18,['Deep Learning'],"{'Tech': 0.7360854402542583, 'Finance': 0.1195122518517344, 'Healthcare': 0.8401188015276871, 'Manufacturing': 0.6428117376733472}"
C007,Course 7,"This is course 7 covering DevOps, Communication, Machine Learning, Data Analysis","['DevOps', 'Communication', 'Machine Learning', 'Data Analysis']",4.6765917756463296,6,['Python'],"{'Tech': 0.9463107783721288, 'Finance': 0.15940948340823877, 'Healthcare': 0.901076758957698, 'Manufacturing': 0.8958292308539393}"
C008,Course 8,"This is course 8 covering Product Management, SQL, Data Analysis, Problem Solving","['Product Management', 'SQL', 'Data Analysis', 'Problem Solving']",1.7756164808321886,11,[],"{'Tech': 0.6648227109263223, 'Finance': 0.13536481634104514, 'Healthcare': 0.3506761395336626, 'Manufacturing': 0.8308672924988961}"
C009,Course 9,"This is course 9 covering Machine Learning, DevOps, Problem Solving, Python","['Machine Learning', 'DevOps', 'Problem Solving', 'Python']",4.7054295041817475,28,['Leadership'],"{'Tech': 0.5895865332927381, 'Finance': 0.12556267122998618, 'Healthcare': 0.9154352564327195, 'Manufacturing': 0.4087331602107437}"
C010,Course 10,"This is course 10 covering Cloud Computing, Machine Learning, Web Development, SQL, Communication","['Cloud Computing', 'Machine Learning', 'Web Development', 'SQL', 'Communication']",2.535711177360448,13,"['Problem Solving', 'Data Analysis']","{'Tech': 0.43574361991195454, 'Finance': 0.4948507721963805, 'Healthcare': 0.7740817831773483, 'Manufacturing': 0.8587111385006523}"
C011,Course 11,"This is course 11 covering Mobile Development, Web Development, UX Design","['Mobile Development', 'Web Development', 'UX Design']",1.2094078636165744,33,['Product Management'],"{'Tech': 0.5319146145593728, 'Finance': 0.19371029268310785, 'Healthcare': 0.4989113913014681, 'Manufacturing': 0.6712213740868798}"
C012,Course 12,"This is course 12 covering Machine Learning, UX Design, Mobile Development, Cloud Computing, Problem Solving","['Machine Learning', 'UX Design', 'Mobile Development', 'Cloud Computing', 'Problem Solving']",1.6798099070558457,12,['Data Analysis'],"{'Tech': 0.3349269006993356, 'Finance': 0.651010268821783, 'Healthcare': 0.279048678085135, 'Manufacturing': 0.9790646622152093}"
